basename,aspect_ratio,title,
3qathwrp,0.917431,
621hldf1,1.5,
24vy9xjl,1.2987,
1b6v3nnd,1.38249,
ijq8axyx,1.46341,
5mv22hn4,1.47059,
nv00c9u4,1.5,
bonxuy93,1.44231,
r0e9o4gt,1.44231,
6p2obavh,0.696056,
1umjrlc9,1.48515,
oy5pv1al,1.4218,
8gqugsbb,1.43541,
jvizmdj7,1.32743,
0up1vdii,1.36364,
pvl28hs6,1.44928,
x5f1fp0h,1.48515,
nns830fi,1.57895,
q1c6omic,1.5,
lgtylne6,1.42857,
lmqlay26,1.44231,
h2fmzj51,1.40845,
8q7hjlv7,0.742574,
giy63jxu,1.52284,
xibljwqh,1.33333,
8teja5c7,1.57895,
iyjcriz3,1.53061,
